idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada
245,Celta Vigo,Eibar,2,0,2017-18
246,Athletic Club,Malaga,2,1,2017-18
247,Sevilla,Atletico de Madrid,2,5,2017-18
248,Villarreal,Getafe,1,0,2017-18
249,Valencia,Real Sociedad,2,1,2017-18
250,Levante,Betis,0,2,2017-18
251,Espanyol,Real Madrid,1,0,2017-18
252,Girona,Celta Vigo,1,0,2017-18
253,Atletico de Madrid,Leganes,4,0,2017-18
254,Getafe,Deportivo de La Coruna,3,0,2017-18
255,Athletic Club,Valencia,1,1,2017-18
256,Eibar,Villarreal,1,0,2017-18
257,Malaga,Sevilla,0,1,2017-18
258,Alaves,Levante,1,0,2017-18
259,Betis,Real Sociedad,0,0,2017-18
260,Las Palmas,Barcelona,1,1,2017-18
261,Leganes,Malaga,2,0,2017-18
262,Villarreal,Girona,0,2,2017-18
263,Deportivo de La Coruna,Eibar,1,1,2017-18
264,Real Madrid,Getafe,3,1,2017-18
265,Sevilla,Athletic Club,2,0,2017-18
266,Valencia,Betis,2,0,2017-18
267,Real Sociedad,Alaves,2,1,2017-18
268,Levante,Espanyol,1,1,2017-18
269,Barcelona,Atletico de Madrid,1,0,2017-18
270,Celta Vigo,Las Palmas,2,1,2017-18
271,Girona,Deportivo de La Coruna,2,0,2017-18
272,Eibar,Real Madrid,1,2,2017-18
273,Sevilla,Valencia,0,2,2017-18
274,Malaga,Barcelona,0,2,2017-18
275,Getafe,Levante,0,1,2017-18
276,Las Palmas,Villarreal,0,2,2017-18
277,Espanyol,Real Sociedad,2,1,2017-18
278,Atletico de Madrid,Celta Vigo,3,0,2017-18
279,Athletic Club,Leganes,2,0,2017-18
280,Alaves,Betis,1,3,2017-18
281,Levante,Eibar,2,1,2017-18
282,Real Sociedad,Getafe,1,2,2017-18
283,Deportivo de La Coruna,Las Palmas,1,1,2017-18
284,Valencia,Alaves,3,1,2017-18
285,Betis,Espanyol,3,0,2017-18
286,Barcelona,Athletic Club,2,0,2017-18
287,Leganes,Sevilla,2,1,2017-18
288,Villarreal,Atletico de Madrid,2,1,2017-18
289,Celta Vigo,Malaga,0,0,2017-18
290,Real Madrid,Girona,6,3,2017-18
291,Athletic Club,Celta Vigo,1,1,2017-18
292,Girona,Levante,1,1,2017-18
293,Sevilla,Barcelona,2,2,2017-18
294,Las Palmas,Real Madrid,0,3,2017-18
295,Espanyol,Alaves,0,0,2017-18
296,Atletico de Madrid,Deportivo de La Coruna,1,0,2017-18
297,Leganes,Valencia,0,1,2017-18
298,Eibar,Real Sociedad,0,0,2017-18
299,Malaga,Villarreal,1,0,2017-18
300,Getafe,Betis,0,1,2017-18
301,Deportivo de La Coruna,Malaga,3,2,2017-18
302,Celta Vigo,Sevilla,4,0,2017-18
303,Betis,Eibar,2,0,2017-18
304,Barcelona,Leganes,3,1,2017-18
305,Alaves,Getafe,2,0,2017-18
306,Valencia,Espanyol,1,0,2017-18
307,Real Madrid,Atletico de Madrid,1,1,2017-18
308,Real Sociedad,Girona,5,0,2017-18
309,Levante,Las Palmas,2,1,2017-18
310,Villarreal,Athletic Club,1,3,2017-18
311,Girona,Betis,0,1,2017-18
312,Barcelona,Valencia,2,1,2017-18
313,Las Palmas,Real Sociedad,0,1,2017-18
314,Leganes,Celta Vigo,1,0,2017-18
315,Athletic Club,Deportivo de La Coruna,2,3,2017-18
316,Sevilla,Villarreal,2,2,2017-18
317,Atletico de Madrid,Levante,3,0,2017-18
318,Getafe,Espanyol,1,0,2017-18
319,Eibar,Alaves,0,1,2017-18
320,Malaga,Real Madrid,1,2,2017-18
321,Villarreal,Leganes,2,1,2017-18
322,Deportivo de La Coruna,Sevilla,0,0,2017-18
323,Celta Vigo,Barcelona,2,2,2017-18
324,Espanyol,Eibar,0,1,2017-18
325,Valencia,Getafe,1,2,2017-18
326,Real Madrid,Athletic Club,1,1,2017-18
327,Real Sociedad,Atletico de Madrid,3,0,2017-18
328,Levante,Malaga,1,0,2017-18
329,Alaves,Girona,1,2,2017-18
330,Betis,Las Palmas,1,0,2017-18
331,Leganes,Deportivo de La Coruna,0,0,2017-18
332,Celta Vigo,Valencia,1,1,2017-18
333,Eibar,Getafe,0,1,2017-18
334,Girona,Espanyol,0,2,2017-18
335,Malaga,Real Sociedad,2,0,2017-18
336,Las Palmas,Alaves,0,4,2017-18
337,Atletico de Madrid,Betis,0,0,2017-18
338,Athletic Club,Levante,1,3,2017-18
339,Sevilla,Real Madrid,3,2,2017-18
340,Barcelona,Villarreal,5,1,2017-18
341,Levante,Sevilla,2,1,2017-18
342,Villarreal,Celta Vigo,4,1,2017-18
343,Real Madrid,Leganes,2,1,2017-18
344,Real Sociedad,Athletic Club,3,1,2017-18
345,Espanyol,Las Palmas,1,1,2017-18
346,Deportivo de La Coruna,Barcelona,2,4,2017-18
347,Valencia,Eibar,0,0,2017-18
348,Getafe,Girona,1,1,2017-18
349,Alaves,Atletico de Madrid,0,1,2017-18
350,Betis,Malaga,2,1,2017-18
351,Sevilla,Real Sociedad,1,0,2017-18
352,Villarreal,Valencia,1,0,2017-18
353,Celta Vigo,Deportivo de La Coruna,1,1,2017-18
354,Athletic Club,Betis,2,0,2017-18
355,Girona,Eibar,1,4,2017-18
356,Las Palmas,Getafe,0,1,2017-18
357,Atletico de Madrid,Espanyol,0,2,2017-18
358,Malaga,Alaves,0,3,2017-18
359,Barcelona,Real Madrid,2,2,2017-18
360,Leganes,Levante,0,3,2017-18
361,Girona,Valencia,0,1,2017-18
362,Alaves,Athletic Club,3,1,2017-18
363,Deportivo de La Coruna,Villarreal,2,4,2017-18
364,Real Madrid,Celta Vigo,6,0,2017-18
365,Getafe,Atletico de Madrid,0,1,2017-18
366,Betis,Sevilla,2,2,2017-18
367,Eibar,Las Palmas,1,0,2017-18
368,Real Sociedad,Leganes,3,2,2017-18
369,Espanyol,Malaga,4,1,2017-18
370,Levante,Barcelona,5,4,2017-18
371,Celta Vigo,Levante,4,2,2017-18
372,Sevilla,Alaves,1,0,2017-18
373,Malaga,Getafe,0,1,2017-18
374,Las Palmas,Girona,1,2,2017-18
375,Leganes,Betis,3,2,2017-18
376,Villarreal,Real Madrid,2,2,2017-18
377,Athletic Club,Espanyol,0,1,2017-18
378,Barcelona,Real Sociedad,1,0,2017-18
379,Valencia,Deportivo de La Coruna,2,1,2017-18
380,Atletico de Madrid,Eibar,2,2,2017-18
381,Girona,Valladolid,0,0,2018-19
382,Betis,Levante,0,3,2018-19
383,Celta Vigo,Espanyol,1,1,2018-19
384,Villarreal,Real Sociedad,1,2,2018-19
385,Barcelona,Alaves,3,0,2018-19
386,Eibar,Huesca,1,2,2018-19
387,Rayo Vallecano,Sevilla,1,4,2018-19
388,Real Madrid,Getafe,2,0,2018-19
389,Valencia,Atletico de Madrid,1,1,2018-19
390,Athletic Club,Leganes,2,1,2018-19
391,Getafe,Eibar,2,0,2018-19
392,Leganes,Real Sociedad,2,2,2018-19
393,Alaves,Betis,0,0,2018-19
394,Atletico de Madrid,Rayo Vallecano,1,0,2018-19
395,Valladolid,Barcelona,0,1,2018-19
396,Espanyol,Valencia,2,0,2018-19
397,Sevilla,Villarreal,0,0,2018-19
398,Girona,Real Madrid,1,4,2018-19
399,Levante,Celta Vigo,1,2,2018-19
400,Athletic Club,Huesca,2,2,2018-19
401,Getafe,Valladolid,0,0,2018-19
402,Eibar,Real Sociedad,2,1,2018-19
403,Villarreal,Girona,0,1,2018-19
404,Celta Vigo,Atletico de Madrid,2,0,2018-19
405,Real Madrid,Leganes,4,1,2018-19
406,Levante,Valencia,2,2,2018-19
407,Alaves,Espanyol,2,1,2018-19
408,Barcelona,Huesca,8,2,2018-19
409,Betis,Sevilla,1,0,2018-19
410,Rayo Vallecano,Athletic Club,1,1,2018-19
411,Huesca,Rayo Vallecano,0,1,2018-19
412,Atletico de Madrid,Eibar,1,1,2018-19
413,Real Sociedad,Barcelona,1,2,2018-19
414,Valencia,Betis,0,0,2018-19
415,Athletic Club,Real Madrid,1,1,2018-19
416,Leganes,Villarreal,0,1,2018-19
417,Espanyol,Levante,1,0,2018-19
418,Valladolid,Alaves,0,1,2018-19
419,Sevilla,Getafe,0,2,2018-19
420,Girona,Celta Vigo,3,2,2018-19
421,Huesca,Real Sociedad,0,1,2018-19
422,Celta Vigo,Valladolid,3,3,2018-19
423,Eibar,Leganes,1,0,2018-19
424,Rayo Vallecano,Alaves,1,5,2018-19
425,Getafe,Atletico de Madrid,0,2,2018-19
426,Real Madrid,Espanyol,1,0,2018-19
427,Barcelona,Girona,2,2,2018-19
428,Levante,Sevilla,2,6,2018-19
429,Betis,Athletic Club,2,2,2018-19
430,Villarreal,Valencia,0,0,2018-19
431,Atletico de Madrid,Huesca,3,0,2018-19
432,Espanyol,Eibar,1,0,2018-19
433,Real Sociedad,Rayo Vallecano,2,2,2018-19
434,Athletic Club,Villarreal,0,3,2018-19
435,Leganes,Barcelona,2,1,2018-19
436,Valencia,Celta Vigo,1,1,2018-19
437,Sevilla,Real Madrid,3,0,2018-19
438,Alaves,Getafe,1,1,2018-19
439,Girona,Betis,0,1,2018-19
440,Valladolid,Levante,2,1,2018-19
441,Rayo Vallecano,Espanyol,2,2,2018-19
442,Eibar,Sevilla,1,3,2018-19
443,Real Sociedad,Valencia,0,1,2018-19
444,Real Madrid,Atletico de Madrid,0,0,2018-19
445,Barcelona,Athletic Club,1,1,2018-19
446,Betis,Leganes,1,0,2018-19
447,Levante,Alaves,2,1,2018-19
448,Huesca,Girona,1,1,2018-19
449,Villarreal,Valladolid,0,1,2018-19
450,Celta Vigo,Getafe,1,1,2018-19
451,Athletic Club,Real Sociedad,1,3,2018-19
452,Alaves,Real Madrid,1,0,2018-19
453,Getafe,Levante,0,1,2018-19
454,Leganes,Rayo Vallecano,1,0,2018-19
455,Girona,Eibar,2,3,2018-19
456,Atletico de Madrid,Betis,1,0,2018-19
457,Espanyol,Villarreal,3,1,2018-19
458,Valencia,Barcelona,1,1,2018-19
459,Sevilla,Celta Vigo,2,1,2018-19
460,Valladolid,Huesca,1,0,2018-19
461,Celta Vigo,Alaves,0,1,2018-19
462,Barcelona,Sevilla,4,2,2018-19
463,Villarreal,Atletico de Madrid,1,1,2018-19
464,Valencia,Leganes,1,1,2018-19
465,Real Madrid,Levante,1,2,2018-19
466,Betis,Valladolid,0,1,2018-19
467,Eibar,Athletic Club,1,1,2018-19
468,Huesca,Espanyol,0,2,2018-19
469,Rayo Vallecano,Getafe,1,2,2018-19
470,Real Sociedad,Girona,0,0,2018-19
471,Valladolid,Espanyol,1,1,2018-19
472,Athletic Club,Valencia,0,0,2018-19
473,Atletico de Madrid,Real Sociedad,2,0,2018-19
474,Celta Vigo,Eibar,4,0,2018-19
475,Girona,Rayo Vallecano,2,1,2018-19
476,Levante,Leganes,2,0,2018-19
477,Barcelona,Real Madrid,5,1,2018-19
478,Alaves,Villarreal,2,1,2018-19
479,Getafe,Betis,2,0,2018-19
480,Sevilla,Huesca,2,1,2018-19
481,Real Madrid,Valladolid,2,0,2018-19
482,Leganes,Atletico de Madrid,1,1,2018-19
483,Rayo Vallecano,Barcelona,2,3,2018-19
484,Valencia,Girona,0,1,2018-19
485,Betis,Celta Vigo,3,3,2018-19
486,Real Sociedad,Sevilla,0,0,2018-19
487,Eibar,Alaves,2,1,2018-19
488,Huesca,Getafe,1,1,2018-19
489,Villarreal,Levante,1,1,2018-19
490,Espanyol,Athletic Club,1,0,2018-19
491,Levante,Real Sociedad,1,3,2018-19
492,Getafe,Valencia,0,1,2018-19
493,Girona,Leganes,0,0,2018-19
494,Atletico de Madrid,Athletic Club,3,2,2018-19
495,Valladolid,Eibar,0,0,2018-19
496,Alaves,Huesca,2,1,2018-19
497,Barcelona,Betis,3,4,2018-19
498,Celta Vigo,Real Madrid,2,4,2018-19
499,Rayo Vallecano,Villarreal,2,2,2018-19
500,Sevilla,Espanyol,2,1,2018-19
501,Leganes,Alaves,1,0,2018-19
502,Atletico de Madrid,Barcelona,1,1,2018-19
503,Eibar,Real Madrid,3,0,2018-19
504,Huesca,Levante,2,2,2018-19
505,Valencia,Rayo Vallecano,3,0,2018-19
506,Athletic Club,Getafe,1,1,2018-19
507,Espanyol,Girona,1,3,2018-19
508,Sevilla,Valladolid,1,0,2018-19
509,Villarreal,Betis,2,1,2018-19
510,Real Sociedad,Celta Vigo,2,1,2018-19
511,Rayo Vallecano,Eibar,1,0,2018-19
512,Celta Vigo,Huesca,2,0,2018-19
513,Real Madrid,Valencia,2,0,2018-19
514,Getafe,Espanyol,3,0,2018-19
515,Valladolid,Leganes,2,4,2018-19
516,Alaves,Sevilla,1,1,2018-19
