Equipo,PL,90 Jugados,ACT,SCA90,PassLiveSCA,PassDeadSCA,TakeOnsSCA,ShotsSCA,FouledSCA,DefenseSCA,ACG,GCA90,PassLiveGCA,PassDeadGCA,TakeOnsGCA,ShotsGCA,FouledGCA,DefenseGCA,Temporada
Celta Vigo,28,38.0,814,21.42,588,56,63,44,55,8,89,2.34,66,3,5,7,8,0,2018-2019
Eibar,25,38.0,935,24.61,639,112,57,48,61,18,73,1.92,45,7,3,8,7,3,2018-2019
Espanyol,25,38.0,805,21.18,589,58,39,60,39,20,66,1.74,42,4,2,12,3,3,2018-2019
Getafe,26,38.0,674,17.74,428,90,49,36,56,15,78,2.05,46,7,11,5,8,1,2018-2019
Girona,26,38.0,692,18.21,462,84,39,39,62,6,63,1.66,39,6,2,9,7,0,2018-2019
Huesca,30,38.0,815,21.45,546,93,45,56,54,21,76,2.00,42,10,4,10,10,0,2018-2019
Leganés,29,38.0,707,18.61,490,86,37,34,45,15,61,1.61,42,8,3,5,3,0,2018-2019
Levante,26,38.0,759,19.97,512,66,61,41,64,15,98,2.58,63,10,10,7,8,0,2018-2019
Rayo Vallecano,29,38.0,792,20.84,537,80,65,50,42,18,67,1.76,45,2,6,8,6,0,2018-2019
Real Madrid,27,38.0,1071,28.18,792,81,71,66,49,12,103,2.71,66,6,7,13,10,1,2018-2019
Real Sociedad,30,38.0,754,19.84,522,72,53,41,47,19,74,1.95,46,7,5,5,9,2,2018-2019
Sevilla,27,38.0,933,24.55,739,59,44,43,35,13,110,2.89,88,3,6,8,5,0,2018-2019
Valencia,25,38.0,855,22.50,641,74,42,44,42,12,92,2.42,67,7,4,4,8,2,2018-2019
Valladolid,28,38.0,742,19.53,524,70,51,37,49,11,53,1.39,32,5,4,4,8,0,2018-2019
Villarreal,26,38.0,871,22.92,638,74,62,51,29,17,77,2.03,45,7,10,11,3,1,2018-2019
Alavés,32,38.0,537,14.13,333,88,28,36,46,6,58,1.53,31,8,4,6,8,1,2019-2020
Athletic Club,26,38.0,690,18.16,469,84,37,36,54,10,65,1.71,43,4,3,6,8,1,2019-2020
Atlético Madrid,30,38.0,790,20.79,546,88,43,51,48,14,86,2.26,56,5,11,5,8,1,2019-2020
Barcelona,28,38.0,903,23.76,678,38,82,33,60,12,150,3.95,114,6,10,5,12,3,2019-2020
Betis,27,38.0,837,22.03,611,62,77,37,39,11,75,1.97,52,4,6,7,6,0,2019-2020
Celta Vigo,30,38.0,659,17.34,477,52,41,37,44,8,67,1.76,43,3,8,5,8,0,2019-2020
Eibar,26,38.0,709,18.66,450,97,40,55,48,19,63,1.66,38,7,5,6,7,0,2019-2020
Espanyol,31,38.0,691,18.18,469,82,37,45,50,8,44,1.16,26,5,2,6,3,2,2019-2020
Getafe,30,38.0,691,18.18,464,83,36,35,63,10,70,1.84,43,7,7,6,6,1,2019-2020
Granada,27,38.0,670,17.63,434,89,32,38,58,19,86,2.26,52,9,5,8,8,4,2019-2020
Leganés,29,38.0,752,19.79,509,87,44,48,57,7,54,1.42,38,4,2,3,6,1,2019-2020
Levante,29,38.0,746,19.63,547,71,48,35,37,8,79,2.08,52,4,6,8,9,0,2019-2020
Mallorca,32,38.0,742,19.53,510,78,51,38,57,8,64,1.68,41,1,6,5,10,1,2019-2020
Osasuna,31,38.0,783,20.61,553,94,40,42,42,12,73,1.92,49,9,4,5,5,1,2019-2020
Real Madrid,26,38.0,1021,26.87,780,68,73,46,42,12,125,3.29,90,7,7,5,15,1,2019-2020
