idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_visitante,GCA90_visitante,SCA90_local,GCA90_local,Pases Completados_visitante,Distancia Progresiva de Pase_visitante,Asistencias Esperadas_visitante,Centro al Punto Penal_visitante,Pases Progresivos_visitante,Pases Completados_local,Distancia Progresiva de Pase_local,Asistencias Esperadas_local,Centro al Punto Penal_local,Pases Progresivos_local,Derribos conseguidos_visitante,% Dribladores derribados_visitante,Desafios Perdidos_visitante,Disparos Bloqueados_visitante,Intercepciones_visitante,Errores_visitante,Derribos conseguidos_local,% Dribladores derribados_local,Desafios Perdidos_local,Disparos Bloqueados_local,Intercepciones_local,Errores_local,PSxG-GA/90_visitante,PSxG-GA/90_local
52,Malaga,Athletic Club,3,3,2017-2018,19.5,1.79,18.08,0.89,347.2,2643.5,0.88,2.74,40.0,300.6,2367.1,0.62,2.55,30.8,12.8,40.3,11.6,2.71,12.2,0.24,13.4,38.5,11.4,2.66,13.1,0.08,0.16,0.15
53,Atletico de Madrid,Sevilla,2,0,2017-2018,24.39,2.37,18.45,2.74,430.7,2813.7,0.97,1.47,48.0,381.2,2477.4,0.81,0.89,38.4,14.1,43.2,10.2,3.0,10.8,0.45,16.2,44.5,12.4,3.39,13.5,0.11,-0.14,0.32
54,Girona,Barcelona,0,3,2017-2018,27.24,4.47,20.89,2.32,582.8,3193.0,1.66,0.79,56.6,311.7,2385.5,0.92,2.97,32.0,10.9,41.5,8.5,2.71,11.2,0.26,10.6,39.6,9.63,2.21,12.9,0.16,0.21,0.05
55,Espanyol,Deportivo de La Coruna,4,1,2017-2018,21.53,1.76,19.05,1.58,336.4,2450.7,0.92,2.24,38.9,335.6,2378.1,0.74,2.24,33.6,13.2,43.0,10.2,2.97,12.7,0.34,13.2,38.7,11.3,3.05,13.6,0.24,-0.28,0.19
56,Las Palmas,Leganes,0,2,2017-2018,17.84,1.45,19.26,1.08,273.2,2205.0,0.71,1.97,29.2,416.4,2634.8,0.73,1.61,35.1,12.7,46.3,9.84,2.29,15.3,0.24,11.4,41.4,9.97,2.95,13.4,0.55,0.02,0.02
57,Getafe,Villarreal,4,0,2017-2018,21.87,2.5,16.55,1.68,394.6,2691.0,0.84,1.58,38.2,224.5,2019.0,0.67,1.76,28.7,12.3,39.6,11.1,3.45,11.2,0.18,12.9,37.7,12.0,1.82,12.8,0.13,0.02,0.24
58,Eibar,Celta Vigo,0,4,2017-2018,21.11,2.71,21.29,1.89,446.9,2861.7,0.97,2.29,42.0,334.9,2594.6,0.76,3.63,38.6,11.1,39.2,8.89,2.66,13.1,0.26,11.5,42.1,9.34,1.39,14.6,0.24,-0.25,0.02
59,Real Sociedad,Valencia,2,3,2017-2018,22.63,3.0,24.26,2.84,376.0,2590.9,0.88,1.97,41.1,446.7,2804.8,0.94,2.71,42.2,12.9,44.7,10.1,2.84,12.1,0.24,9.84,42.4,8.13,2.39,11.7,0.16,0.33,-0.14
60,Betis,Levante,4,0,2017-2018,19.16,2.08,19.05,2.45,282.0,2222.0,0.59,2.29,33.8,472.4,2753.0,0.83,1.68,39.6,10.9,38.2,10.2,3.34,12.6,0.24,11.2,39.7,8.53,2.5,11.2,0.45,0.08,-0.24
61,Celta Vigo,Girona,3,3,2017-2018,20.89,2.32,21.11,2.71,311.7,2385.5,0.92,2.97,32.0,446.9,2861.7,0.97,2.29,42.0,10.6,39.6,9.63,2.21,12.9,0.16,11.1,39.2,8.89,2.66,13.1,0.26,0.05,-0.25
