Equipo,GC,PD,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,Att (GK),TI,Opp,Stp,Temporada
Granada,1.71,0.16,0.05,0.11,0.03,1.63,0.31,-0.06,-0.05,8.16,22.3,24.8,2.08,14.4,0.32,2020-2021
Huesca,1.39,0.13,0.03,0.26,0.05,1.27,0.29,-0.07,-0.07,4.95,13.4,28.3,4.92,14.2,0.42,2020-2021
Levante,1.50,0.08,0.03,0.16,0.05,1.32,0.29,-0.13,-0.13,3.58,10.1,24.6,5.18,14.0,0.21,2020-2021
Osasuna,1.26,0.13,0.00,0.13,0.05,1.24,0.30,0.03,+0.03,11.6,26.2,26.2,2.42,15.8,0.79,2020-2021
Real Madrid,0.74,0.18,0.00,0.08,0.03,0.86,0.22,0.15,+0.15,2.34,7.89,28.6,6.39,12.4,0.68,2020-2021
Real Sociedad,1.00,0.08,0.00,0.11,0.03,0.92,0.30,-0.05,-0.05,5.37,13.7,26.3,3.47,10.9,0.24,2020-2021
Sevilla,0.87,0.11,0.00,0.11,0.05,0.88,0.24,0.07,+0.07,4.82,11.0,26.6,4.45,13.5,0.79,2020-2021
Valencia,1.39,0.13,0.08,0.13,0.05,1.27,0.24,-0.07,-0.07,7.66,17.5,22.9,3.82,17.2,0.29,2020-2021
Valladolid,1.50,0.16,0.03,0.13,0.00,1.41,0.30,-0.09,-0.10,6.61,21.3,23.1,3.50,15.2,0.18,2020-2021
Villarreal,1.16,0.18,0.00,0.08,0.05,1.02,0.25,-0.09,-0.09,4.39,11.3,28.9,5.47,15.7,0.74,2020-2021
Alavés,1.71,0.16,0.00,0.26,0.00,1.54,0.30,-0.17,-0.17,9.71,20.6,21.3,2.53,16.3,0.68,2021-2022
Athletic Club,0.95,0.08,0.00,0.05,0.03,0.97,0.26,0.05,+0.05,4.16,10.6,19.7,5.29,15.2,0.79,2021-2022
Atlético Madrid,1.13,0.18,0.05,0.11,0.08,0.85,0.23,-0.20,-0.20,4.47,15.7,21.3,4.08,12.6,0.71,2021-2022
Barcelona,1.00,0.05,0.03,0.18,0.00,0.90,0.26,-0.10,-0.10,3.87,7.61,30.7,4.34,10.1,0.39,2021-2022
Betis,1.05,0.08,0.00,0.08,0.05,1.03,0.27,0.03,+0.03,5.29,14.4,25.3,4.13,15.6,0.63,2021-2022
Cádiz,1.34,0.29,0.00,0.26,0.00,1.39,0.24,0.05,+0.05,7.16,20.8,22.1,3.13,15.4,1.11,2021-2022
Celta Vigo,1.13,0.11,0.00,0.03,0.05,1.14,0.27,0.06,+0.06,7.97,21.2,30.9,3.45,11.9,0.95,2021-2022
Elche,1.37,0.18,0.00,0.16,0.00,1.43,0.27,0.07,+0.07,6.76,16.5,25.4,4.82,16.2,0.66,2021-2022
Espanyol,1.39,0.11,0.00,0.11,0.05,1.41,0.30,0.07,+0.07,4.50,12.3,23.6,5.82,17.4,1.00,2021-2022
Getafe,1.08,0.05,0.00,0.13,0.03,1.08,0.29,0.02,+0.02,9.63,22.9,23.5,2.66,15.2,0.68,2021-2022
Granada,1.61,0.18,0.00,0.18,0.05,1.58,0.27,0.03,+0.03,7.03,21.5,24.3,4.26,16.2,0.84,2021-2022
Levante,2.00,0.13,0.03,0.34,0.00,1.73,0.30,-0.27,-0.27,4.08,12.1,21.6,3.97,14.0,0.50,2021-2022
Mallorca,1.66,0.16,0.03,0.13,0.11,1.42,0.30,-0.14,-0.14,6.42,15.7,20.7,3.42,15.2,0.45,2021-2022
Osasuna,1.34,0.11,0.00,0.29,0.05,1.29,0.29,0.00,0.00,10.4,23.1,23.3,2.21,14.4,0.63,2021-2022
Rayo Vallecano,1.32,0.18,0.00,0.11,0.03,1.31,0.25,0.02,+0.02,5.89,17.1,23.4,5.08,13.0,1.16,2021-2022
Real Madrid,0.82,0.08,0.03,0.05,0.00,0.97,0.25,0.16,+0.16,2.08,6.87,24.4,5.29,13.3,0.63,2021-2022
