Equipo,PL,90 Jugados,Tackles,Tackles Ganados,Tackles Defensa 1/3,Tackles Medio 1/3,Tackles Ataque 1/3,Dribladores Tackleados,Dribleos Desafiados,% Tackle Dribladores,Desafíos Perdidos,Bloqueos,Disparos Bloqueados,Pases Bloqueados,Intercepciones,Tackles + Intercepciones,Despejes,Errores,Temporada
Alaves,30,38.0,702,464,364,265,73,267,663,40.3,396,407,133,274,498,1200,981,11,2017-2018
Athletic Club,26,38.0,739,486,359,304,76,296,735,40.3,439,432,103,329,465,1204,820,9,2017-2018
Atletico de Madrid,26,38.0,917,614,442,372,103,377,847,44.5,470,462,129,333,513,1430,885,4,2017-2018
Barcelona,25,38.0,629,413,281,262,86,229,552,41.5,323,366,103,263,424,1053,525,10,2017-2018
Betis,29,38.0,635,424,319,252,64,213,537,39.7,324,356,95,261,427,1062,869,17,2017-2018
Celta Vigo,23,38.0,589,420,304,232,53,218,556,39.2,338,327,101,226,497,1086,780,10,2017-2018
Eibar,27,38.0,643,436,271,282,90,258,613,42.1,355,349,53,296,554,1197,712,9,2017-2018
Espanyol,25,38.0,716,500,357,278,81,271,700,38.7,429,362,116,246,515,1231,902,9,2017-2018
Getafe,32,38.0,715,491,369,267,79,276,732,37.7,456,350,69,281,487,1202,899,5,2017-2018
Girona,25,38.0,611,403,299,254,58,240,606,39.6,366,329,84,245,490,1101,858,6,2017-2018
Deportivo de La Coruna,32,38.0,728,500,386,282,60,292,679,43.0,387,391,113,278,484,1212,942,13,2017-2018
Las Palmas,36,38.0,654,433,325,269,60,268,647,41.4,379,367,112,255,508,1162,713,21,2017-2018
Leganés,28,38.0,721,483,350,307,64,323,697,46.3,374,361,87,274,583,1304,777,9,2017-2018
Levante,33,38.0,616,414,328,222,66,239,625,38.2,386,395,127,268,477,1093,811,9,2017-2018
Málaga,37,38.0,745,509,383,276,86,272,707,38.5,435,362,101,261,497,1242,890,3,2017-2018
Real Madrid,24,38.0,687,470,317,275,95,252,621,40.6,369,362,83,279,424,1111,536,16,2017-2018
