Equipo,Gls.,Dis,DaP,FK,TP,TPint,xG,npxG,G-xG,np:G-xG,Temporada
Villarreal,1.50,13.1,4.95,0.58,0.11,0.18,1.62,1.48,-0.12,-0.08,2022-2023
Alaves,0.87,12.1,3.58,0.39,0.08,0.18,1.22,1.07,-0.35,-0.28,2023-2024
Almeria,1.11,12.6,4.29,0.47,0.05,0.05,1.28,1.24,-0.18,-0.19,2023-2024
Athletic Club,1.55,12.1,4.29,0.18,0.08,0.13,1.39,1.28,0.17,0.19,2023-2024
Atletico de Madrid,1.79,12.5,5.18,0.24,0.13,0.16,1.64,1.52,0.15,0.13,2023-2024
Barcelona,2.00,15.5,5.76,0.55,0.16,0.18,2.04,1.90,-0.04,-0.06,2023-2024
Betis,1.21,12.9,3.95,0.39,0.05,0.08,1.16,1.10,0.06,0.06,2023-2024
Cadiz,0.66,10.4,3.16,0.55,0.08,0.08,0.95,0.88,-0.29,-0.31,2023-2024
Celta Vigo,1.18,12.3,3.97,0.37,0.08,0.13,1.33,1.23,-0.15,-0.13,2023-2024
Getafe,1.11,11.7,3.95,0.37,0.16,0.18,1.20,1.06,-0.10,-0.11,2023-2024
Girona,2.21,12.5,4.68,0.34,0.18,0.21,1.86,1.70,0.35,0.33,2023-2024
Granada,0.92,10.4,3.24,0.39,0.13,0.21,1.12,0.96,-0.20,-0.17,2023-2024
Las Palmas,0.87,10.2,3.16,0.55,0.08,0.13,0.87,0.77,-0.01,0.02,2023-2024
Mallorca,0.87,10.9,3.45,0.11,0.03,0.08,1.07,1.01,-0.20,-0.16,2023-2024
Osasuna,1.18,11.1,3.26,0.37,0.11,0.13,1.07,0.96,0.12,0.12,2023-2024
Rayo Vallecano,0.76,12.8,4.21,1.24,0.16,0.16,1.11,0.99,-0.35,-0.39,2023-2024
Real Madrid,2.24,15.6,6.37,0.63,0.05,0.13,1.81,1.72,0.43,0.47,2023-2024
Real Sociedad,1.26,12.0,3.87,0.63,0.11,0.11,1.18,1.10,0.08,0.06,2023-2024
Sevilla,1.21,12.8,4.21,0.39,0.05,0.05,1.18,1.14,0.03,0.02,2023-2024
Valencia,1.03,9.68,3.24,0.42,0.21,0.24,1.13,0.95,-0.11,-0.14,2023-2024
Villarreal,1.68,12.2,4.29,0.21,0.13,0.18,1.46,1.32,0.22,0.23,2023-2024
