idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_local,GCA90_local,SCA90_visitante,GCA90_visitante
222,Leganes,Eibar,0,1,2017-2018,17.84,1.45,21.29,1.89
223,Villarreal,Alaves,1,2,2017-2018,21.87,2.5,17.5,1.87
224,Real Madrid,Real Sociedad,5,2,2017-2018,33.95,4.37,24.26,2.84
225,Malaga,Atletico de Madrid,0,1,2017-2018,18.08,0.89,18.45,2.74
226,Valencia,Levante,3,1,2017-2018,22.63,3.0,19.16,2.08
227,Celta Vigo,Espanyol,2,2,2017-2018,21.11,2.71,19.05,1.58
228,Sevilla,Girona,1,0,2017-2018,24.39,2.37,20.89,2.32
229,Barcelona,Getafe,0,0,2017-2018,27.24,4.47,16.55,1.68
230,Deportivo de La Coruna,Betis,0,1,2017-2018,21.53,1.76,19.05,2.45
231,Girona,Leganes,3,0,2017-2018,20.89,2.32,17.84,1.45
232,Eibar,Barcelona,0,2,2017-2018,21.29,1.89,27.24,4.47
233,Malaga,Valencia,1,2,2017-2018,18.08,0.89,22.63,3.0
234,Las Palmas,Sevilla,1,2,2017-2018,19.26,1.08,24.39,2.37
235,Alaves,Deportivo de La Coruna,1,0,2017-2018,17.5,1.87,21.53,1.76
236,Betis,Real Madrid,3,5,2017-2018,19.05,2.45,33.95,4.37
237,Real Sociedad,Levante,3,0,2017-2018,24.26,2.84,19.16,2.08
238,Espanyol,Villarreal,1,1,2017-2018,19.05,1.58,21.87,2.5
239,Atletico de Madrid,Athletic Club,2,0,2017-2018,18.45,2.74,19.5,1.79
240,Getafe,Celta Vigo,3,0,2017-2018,16.55,1.68,21.11,2.71
241,Deportivo de La Coruna,Espanyol,0,0,2017-2018,21.53,1.76,19.05,1.58
242,Barcelona,Girona,6,1,2017-2018,27.24,4.47,20.89,2.32
243,Leganes,Las Palmas,0,0,2017-2018,17.84,1.45,19.26,1.08
244,Real Madrid,Alaves,4,0,2017-2018,33.95,4.37,17.5,1.87
245,Celta Vigo,Eibar,2,0,2017-2018,21.11,2.71,21.29,1.89
246,Athletic Club,Malaga,2,1,2017-2018,19.5,1.79,18.08,0.89
247,Sevilla,Atletico de Madrid,2,5,2017-2018,24.39,2.37,18.45,2.74
248,Villarreal,Getafe,1,0,2017-2018,21.87,2.5,16.55,1.68
249,Valencia,Real Sociedad,2,1,2017-2018,22.63,3.0,24.26,2.84
250,Levante,Betis,0,2,2017-2018,19.16,2.08,19.05,2.45
251,Espanyol,Real Madrid,1,0,2017-2018,19.05,1.58,33.95,4.37
252,Girona,Celta Vigo,1,0,2017-2018,20.89,2.32,21.11,2.71
253,Atletico de Madrid,Leganes,4,0,2017-2018,18.45,2.74,17.84,1.45
254,Getafe,Deportivo de La Coruna,3,0,2017-2018,16.55,1.68,21.53,1.76
255,Athletic Club,Valencia,1,1,2017-2018,19.5,1.79,22.63,3.0
256,Eibar,Villarreal,1,0,2017-2018,21.29,1.89,21.87,2.5
257,Malaga,Sevilla,0,1,2017-2018,18.08,0.89,24.39,2.37
258,Alaves,Levante,1,0,2017-2018,17.5,1.87,19.16,2.08
259,Betis,Real Sociedad,0,0,2017-2018,19.05,2.45,24.26,2.84
260,Las Palmas,Barcelona,1,1,2017-2018,19.26,1.08,27.24,4.47
261,Leganes,Malaga,2,0,2017-2018,17.84,1.45,18.08,0.89
262,Villarreal,Girona,0,2,2017-2018,21.87,2.5,20.89,2.32
263,Deportivo de La Coruna,Eibar,1,1,2017-2018,21.53,1.76,21.29,1.89
264,Real Madrid,Getafe,3,1,2017-2018,33.95,4.37,16.55,1.68
